frame,class,conf,x1,y1,x2,y2
292,0,0.8921,1867,630,1906,667
293,0,0.8906,1867,630,1906,667
294,0,0.8906,1867,630,1906,667
295,0,0.8921,1867,630,1906,667
296,0,0.8926,1867,630,1906,667
297,0,0.8921,1867,630,1906,667
298,0,0.8921,1867,630,1906,667
299,0,0.8936,1867,630,1906,667
300,0,0.8950,1867,630,1906,667
300,0,0.1938,716,417,735,435
301,0,0.8950,1867,630,1906,668
301,0,0.1913,718,416,736,435
302,0,0.8960,1867,630,1906,667
302,0,0.1597,719,416,737,434
303,0,0.8945,1867,630,1906,668
303,0,0.1956,721,416,738,434
304,0,0.8960,1867,630,1906,667
305,0,0.8945,1867,630,1906,667
305,0,0.1093,618,451,638,472
306,0,0.8906,1867,630,1906,668
307,0,0.8965,1867,630,1906,667
308,0,0.8950,1867,630,1906,668
309,0,0.8960,1867,630,1906,667
310,0,0.8945,1867,630,1906,668
310,0,0.1089,632,399,652,419
311,0,0.8960,1867,630,1906,667
312,0,0.8960,1867,630,1906,667
313,0,0.8960,1867,630,1906,667
314,0,0.8975,1867,630,1906,667
314,0,0.1067,633,405,655,424
315,0,0.8960,1867,630,1906,667
316,0,0.8965,1867,631,1906,667
317,0,0.8975,1867,631,1906,667
318,0,0.8950,1867,631,1906,667
319,0,0.8950,1867,631,1906,667
320,0,0.8945,1867,631,1906,667
321,0,0.8950,1867,631,1906,667
321,0,0.1561,585,464,604,483
322,0,0.8945,1867,631,1906,667
322,0,0.2102,584,463,603,481
323,0,0.8950,1867,631,1906,667
324,0,0.8960,1867,631,1906,667
325,0,0.8950,1867,631,1906,667
326,0,0.8960,1867,631,1906,667
327,0,0.8984,1867,631,1906,667
328,0,0.8984,1867,631,1906,667
329,0,0.8975,1867,630,1906,667
330,0,0.8989,1867,631,1906,667
331,0,0.9004,1867,631,1906,667
332,0,0.8984,1867,631,1906,667
333,0,0.8965,1867,631,1906,667
334,0,0.8960,1867,630,1906,667
335,0,0.8960,1867,631,1906,667
336,0,0.8989,1867,631,1906,667
337,0,0.8989,1867,631,1906,667
338,0,0.8989,1867,631,1906,667
339,0,0.8984,1867,631,1906,667
340,0,0.8984,1867,631,1906,667
341,0,0.8960,1867,631,1906,667
342,0,0.8975,1867,631,1906,667
343,0,0.8975,1867,631,1906,667
344,0,0.8984,1867,631,1906,667
345,0,0.8984,1867,631,1906,667
346,0,0.8984,1867,631,1906,667
347,0,0.8965,1867,630,1906,668
348,0,0.8960,1867,630,1906,668
349,0,0.8960,1867,630,1906,668
350,0,0.8936,1867,630,1906,668
351,0,0.9004,1867,630,1906,667
352,0,0.8950,1867,630,1906,668
